Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11	TaskObject#12	TaskObject#13	TaskObject#14	TaskObject#15	TaskObject#16	TaskObject#17
1	'imgPerTrial',008,'fixationImage01ID',001,'fixationImage02ID',011,'fixationImage03ID',021,'fixationImage04ID',031,'fixationImage05ID',041,'fixationImage06ID',051,'fixationImage07ID',061,'fixationImage08ID',071,'fixationImage09ID',001,'fixationImage10ID',001,'fixationImage01File','.\stim\001','fixationImage02File','.\stim\011','fixationImage03File','.\stim\021','fixationImage04File','.\stim\031','fixationImage05File','.\stim\041','fixationImage06File','.\stim\051','fixationImage07File','.\stim\061','fixationImage08File','.\stim\071','fixationImage09File','.\stim\001','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	1	calTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\001, 0, 0)	pic(.\stim\011, 0, 0)	pic(.\stim\021, 0, 0)	pic(.\stim\031, 0, 0)	pic(.\stim\041, 0, 0)	pic(.\stim\051, 0, 0)	pic(.\stim\061, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\001, 0, 0)	pic(.\stim\001, 0, 0)
2	'imgPerTrial',008,'fixationImage01ID',001,'fixationImage02ID',011,'fixationImage03ID',021,'fixationImage04ID',031,'fixationImage05ID',041,'fixationImage06ID',051,'fixationImage07ID',061,'fixationImage08ID',071,'fixationImage09ID',001,'fixationImage10ID',001,'fixationImage01File','.\stim\001','fixationImage02File','.\stim\011','fixationImage03File','.\stim\021','fixationImage04File','.\stim\031','fixationImage05File','.\stim\041','fixationImage06File','.\stim\051','fixationImage07File','.\stim\061','fixationImage08File','.\stim\071','fixationImage09File','.\stim\001','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	2	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\001, 0, 0)	pic(.\stim\011, 0, 0)	pic(.\stim\021, 0, 0)	pic(.\stim\031, 0, 0)	pic(.\stim\041, 0, 0)	pic(.\stim\051, 0, 0)	pic(.\stim\061, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\001, 0, 0)	pic(.\stim\001, 0, 0)
3	'imgPerTrial',008,'fixationImage01ID',002,'fixationImage02ID',012,'fixationImage03ID',022,'fixationImage04ID',032,'fixationImage05ID',042,'fixationImage06ID',052,'fixationImage07ID',062,'fixationImage08ID',072,'fixationImage09ID',001,'fixationImage10ID',001,'fixationImage01File','.\stim\002','fixationImage02File','.\stim\012','fixationImage03File','.\stim\022','fixationImage04File','.\stim\032','fixationImage05File','.\stim\042','fixationImage06File','.\stim\052','fixationImage07File','.\stim\062','fixationImage08File','.\stim\072','fixationImage09File','.\stim\001','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	2	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\002, 0, 0)	pic(.\stim\012, 0, 0)	pic(.\stim\022, 0, 0)	pic(.\stim\032, 0, 0)	pic(.\stim\042, 0, 0)	pic(.\stim\052, 0, 0)	pic(.\stim\062, 0, 0)	pic(.\stim\072, 0, 0)	pic(.\stim\001, 0, 0)	pic(.\stim\001, 0, 0)
4	'imgPerTrial',008,'fixationImage01ID',003,'fixationImage02ID',013,'fixationImage03ID',023,'fixationImage04ID',033,'fixationImage05ID',043,'fixationImage06ID',053,'fixationImage07ID',063,'fixationImage08ID',073,'fixationImage09ID',001,'fixationImage10ID',001,'fixationImage01File','.\stim\003','fixationImage02File','.\stim\013','fixationImage03File','.\stim\023','fixationImage04File','.\stim\033','fixationImage05File','.\stim\043','fixationImage06File','.\stim\053','fixationImage07File','.\stim\063','fixationImage08File','.\stim\073','fixationImage09File','.\stim\001','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	2	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\003, 0, 0)	pic(.\stim\013, 0, 0)	pic(.\stim\023, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\053, 0, 0)	pic(.\stim\063, 0, 0)	pic(.\stim\073, 0, 0)	pic(.\stim\001, 0, 0)	pic(.\stim\001, 0, 0)
5	'imgPerTrial',008,'fixationImage01ID',004,'fixationImage02ID',014,'fixationImage03ID',024,'fixationImage04ID',034,'fixationImage05ID',044,'fixationImage06ID',054,'fixationImage07ID',064,'fixationImage08ID',074,'fixationImage09ID',001,'fixationImage10ID',001,'fixationImage01File','.\stim\004','fixationImage02File','.\stim\014','fixationImage03File','.\stim\024','fixationImage04File','.\stim\034','fixationImage05File','.\stim\044','fixationImage06File','.\stim\054','fixationImage07File','.\stim\064','fixationImage08File','.\stim\074','fixationImage09File','.\stim\001','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	2	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\004, 0, 0)	pic(.\stim\014, 0, 0)	pic(.\stim\024, 0, 0)	pic(.\stim\034, 0, 0)	pic(.\stim\044, 0, 0)	pic(.\stim\054, 0, 0)	pic(.\stim\064, 0, 0)	pic(.\stim\074, 0, 0)	pic(.\stim\001, 0, 0)	pic(.\stim\001, 0, 0)
6	'imgPerTrial',008,'fixationImage01ID',005,'fixationImage02ID',015,'fixationImage03ID',025,'fixationImage04ID',035,'fixationImage05ID',045,'fixationImage06ID',055,'fixationImage07ID',065,'fixationImage08ID',075,'fixationImage09ID',001,'fixationImage10ID',001,'fixationImage01File','.\stim\005','fixationImage02File','.\stim\015','fixationImage03File','.\stim\025','fixationImage04File','.\stim\035','fixationImage05File','.\stim\045','fixationImage06File','.\stim\055','fixationImage07File','.\stim\065','fixationImage08File','.\stim\075','fixationImage09File','.\stim\001','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	2	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\005, 0, 0)	pic(.\stim\015, 0, 0)	pic(.\stim\025, 0, 0)	pic(.\stim\035, 0, 0)	pic(.\stim\045, 0, 0)	pic(.\stim\055, 0, 0)	pic(.\stim\065, 0, 0)	pic(.\stim\075, 0, 0)	pic(.\stim\001, 0, 0)	pic(.\stim\001, 0, 0)
7	'imgPerTrial',008,'fixationImage01ID',006,'fixationImage02ID',016,'fixationImage03ID',026,'fixationImage04ID',036,'fixationImage05ID',046,'fixationImage06ID',056,'fixationImage07ID',066,'fixationImage08ID',076,'fixationImage09ID',001,'fixationImage10ID',001,'fixationImage01File','.\stim\006','fixationImage02File','.\stim\016','fixationImage03File','.\stim\026','fixationImage04File','.\stim\036','fixationImage05File','.\stim\046','fixationImage06File','.\stim\056','fixationImage07File','.\stim\066','fixationImage08File','.\stim\076','fixationImage09File','.\stim\001','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	2	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\006, 0, 0)	pic(.\stim\016, 0, 0)	pic(.\stim\026, 0, 0)	pic(.\stim\036, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\066, 0, 0)	pic(.\stim\076, 0, 0)	pic(.\stim\001, 0, 0)	pic(.\stim\001, 0, 0)
8	'imgPerTrial',008,'fixationImage01ID',007,'fixationImage02ID',017,'fixationImage03ID',027,'fixationImage04ID',037,'fixationImage05ID',047,'fixationImage06ID',057,'fixationImage07ID',067,'fixationImage08ID',077,'fixationImage09ID',001,'fixationImage10ID',001,'fixationImage01File','.\stim\007','fixationImage02File','.\stim\017','fixationImage03File','.\stim\027','fixationImage04File','.\stim\037','fixationImage05File','.\stim\047','fixationImage06File','.\stim\057','fixationImage07File','.\stim\067','fixationImage08File','.\stim\077','fixationImage09File','.\stim\001','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	2	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\007, 0, 0)	pic(.\stim\017, 0, 0)	pic(.\stim\027, 0, 0)	pic(.\stim\037, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\057, 0, 0)	pic(.\stim\067, 0, 0)	pic(.\stim\077, 0, 0)	pic(.\stim\001, 0, 0)	pic(.\stim\001, 0, 0)
9	'imgPerTrial',008,'fixationImage01ID',008,'fixationImage02ID',018,'fixationImage03ID',028,'fixationImage04ID',038,'fixationImage05ID',048,'fixationImage06ID',058,'fixationImage07ID',068,'fixationImage08ID',078,'fixationImage09ID',001,'fixationImage10ID',001,'fixationImage01File','.\stim\008','fixationImage02File','.\stim\018','fixationImage03File','.\stim\028','fixationImage04File','.\stim\038','fixationImage05File','.\stim\048','fixationImage06File','.\stim\058','fixationImage07File','.\stim\068','fixationImage08File','.\stim\078','fixationImage09File','.\stim\001','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	2	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\008, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\028, 0, 0)	pic(.\stim\038, 0, 0)	pic(.\stim\048, 0, 0)	pic(.\stim\058, 0, 0)	pic(.\stim\068, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\001, 0, 0)	pic(.\stim\001, 0, 0)
10	'imgPerTrial',008,'fixationImage01ID',009,'fixationImage02ID',019,'fixationImage03ID',029,'fixationImage04ID',039,'fixationImage05ID',049,'fixationImage06ID',059,'fixationImage07ID',069,'fixationImage08ID',079,'fixationImage09ID',001,'fixationImage10ID',001,'fixationImage01File','.\stim\009','fixationImage02File','.\stim\019','fixationImage03File','.\stim\029','fixationImage04File','.\stim\039','fixationImage05File','.\stim\049','fixationImage06File','.\stim\059','fixationImage07File','.\stim\069','fixationImage08File','.\stim\079','fixationImage09File','.\stim\001','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	2	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\009, 0, 0)	pic(.\stim\019, 0, 0)	pic(.\stim\029, 0, 0)	pic(.\stim\039, 0, 0)	pic(.\stim\049, 0, 0)	pic(.\stim\059, 0, 0)	pic(.\stim\069, 0, 0)	pic(.\stim\079, 0, 0)	pic(.\stim\001, 0, 0)	pic(.\stim\001, 0, 0)
