Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11	TaskObject#12	TaskObject#13	TaskObject#14	TaskObject#15	TaskObject#16	TaskObject#17
1	'targetImageID',070,'distractorImageID',070,'targetImageFile','.\stim\070','distractorImageFile','.\stim\070','expectedResponse',001,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000,'targetX',-05,'targetY',005,'distractor01X',-05,'distractor01Y',-05,'distractor02X',005,'distractor02Y',000,'distractor03X',005,'distractor03Y',-05,'distractor04X',005,'distractor04Y',005,'distractor05X',-05,'distractor05Y',000,'distractor06X',000,'distractor06Y',005,'distractor07X',000,'distractor07Y',-05,'distractorPerTrial',007	1	1	calTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0 0.33], 1, 20, 10)	crc(4, [0.33 0 0.33], 1, 20, -10)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)
2	'targetImageID',070,'distractorImageID',070,'targetImageFile','.\stim\070','distractorImageFile','.\stim\070','expectedResponse',001,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000,'targetX',-05,'targetY',005,'distractor01X',-05,'distractor01Y',-05,'distractor02X',005,'distractor02Y',000,'distractor03X',005,'distractor03Y',-05,'distractor04X',005,'distractor04Y',005,'distractor05X',-05,'distractor05Y',000,'distractor06X',000,'distractor06Y',005,'distractor07X',000,'distractor07Y',-05,'distractorPerTrial',007	1	2	searchTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0 0.33], 1, 20, 10)	crc(4, [0.33 0 0.33], 1, 20, -10)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\070, 0, 0)
3	'targetImageID',054,'distractorImageID',054,'targetImageFile','.\stim\054','distractorImageFile','.\stim\054','expectedResponse',001,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000,'targetX',005,'targetY',000,'distractor01X',-05,'distractor01Y',-05,'distractor02X',-05,'distractor02Y',000,'distractor03X',000,'distractor03Y',-05,'distractor04X',005,'distractor04Y',005,'distractor05X',000,'distractor05Y',005,'distractor06X',005,'distractor06Y',-05,'distractor07X',-05,'distractor07Y',005,'distractorPerTrial',007	1	2	searchTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0 0.33], 1, 20, 10)	crc(4, [0.33 0 0.33], 1, 20, -10)	pic(.\stim\054, 0, 0)	pic(.\stim\054, 0, 0)	pic(.\stim\054, 0, 0)	pic(.\stim\054, 0, 0)	pic(.\stim\054, 0, 0)	pic(.\stim\054, 0, 0)	pic(.\stim\054, 0, 0)	pic(.\stim\054, 0, 0)
4	'targetImageID',078,'distractorImageID',078,'targetImageFile','.\stim\078','distractorImageFile','.\stim\078','expectedResponse',001,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000,'targetX',-05,'targetY',-05,'distractor01X',000,'distractor01Y',-05,'distractor02X',005,'distractor02Y',000,'distractor03X',-05,'distractor03Y',000,'distractor04X',000,'distractor04Y',005,'distractor05X',-05,'distractor05Y',005,'distractor06X',005,'distractor06Y',005,'distractor07X',005,'distractor07Y',-05,'distractorPerTrial',007	1	2	searchTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0 0.33], 1, 20, 10)	crc(4, [0.33 0 0.33], 1, 20, -10)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)
5	'targetImageID',071,'distractorImageID',071,'targetImageFile','.\stim\071','distractorImageFile','.\stim\071','expectedResponse',001,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000,'targetX',005,'targetY',000,'distractor01X',-05,'distractor01Y',000,'distractor02X',-05,'distractor02Y',-05,'distractor03X',000,'distractor03Y',005,'distractor04X',005,'distractor04Y',005,'distractor05X',-05,'distractor05Y',005,'distractor06X',000,'distractor06Y',-05,'distractor07X',005,'distractor07Y',-05,'distractorPerTrial',007	1	2	searchTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0 0.33], 1, 20, 10)	crc(4, [0.33 0 0.33], 1, 20, -10)	pic(.\stim\071, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\071, 0, 0)
6	'targetImageID',033,'distractorImageID',033,'targetImageFile','.\stim\033','distractorImageFile','.\stim\033','expectedResponse',001,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000,'targetX',000,'targetY',-05,'distractor01X',005,'distractor01Y',-05,'distractor02X',-05,'distractor02Y',005,'distractor03X',000,'distractor03Y',005,'distractor04X',005,'distractor04Y',000,'distractor05X',-05,'distractor05Y',-05,'distractor06X',-05,'distractor06Y',000,'distractor07X',005,'distractor07Y',005,'distractorPerTrial',007	1	2	searchTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0 0.33], 1, 20, 10)	crc(4, [0.33 0 0.33], 1, 20, -10)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)
7	'targetImageID',010,'distractorImageID',010,'targetImageFile','.\stim\010','distractorImageFile','.\stim\010','expectedResponse',001,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000,'targetX',005,'targetY',-05,'distractor01X',000,'distractor01Y',005,'distractor02X',-05,'distractor02Y',000,'distractor03X',-05,'distractor03Y',005,'distractor04X',-05,'distractor04Y',-05,'distractor05X',005,'distractor05Y',005,'distractor06X',000,'distractor06Y',-05,'distractor07X',005,'distractor07Y',000,'distractorPerTrial',007	1	2	searchTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0 0.33], 1, 20, 10)	crc(4, [0.33 0 0.33], 1, 20, -10)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)
8	'targetImageID',057,'distractorImageID',043,'targetImageFile','.\stim\057','distractorImageFile','.\stim\043','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000,'targetX',-05,'targetY',005,'distractor01X',-05,'distractor01Y',-05,'distractor02X',005,'distractor02Y',005,'distractor03X',000,'distractor03Y',-05,'distractor04X',005,'distractor04Y',000,'distractor05X',005,'distractor05Y',-05,'distractor06X',000,'distractor06Y',005,'distractor07X',-05,'distractor07Y',000,'distractorPerTrial',007	1	2	searchTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0 0.33], 1, 20, 10)	crc(4, [0.33 0 0.33], 1, 20, -10)	pic(.\stim\057, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)
9	'targetImageID',022,'distractorImageID',078,'targetImageFile','.\stim\022','distractorImageFile','.\stim\078','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000,'targetX',000,'targetY',005,'distractor01X',-05,'distractor01Y',000,'distractor02X',-05,'distractor02Y',-05,'distractor03X',005,'distractor03Y',-05,'distractor04X',000,'distractor04Y',-05,'distractor05X',005,'distractor05Y',000,'distractor06X',-05,'distractor06Y',005,'distractor07X',005,'distractor07Y',005,'distractorPerTrial',007	1	2	searchTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0 0.33], 1, 20, 10)	crc(4, [0.33 0 0.33], 1, 20, -10)	pic(.\stim\022, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)	pic(.\stim\078, 0, 0)
10	'targetImageID',044,'distractorImageID',056,'targetImageFile','.\stim\044','distractorImageFile','.\stim\056','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000,'targetX',-05,'targetY',-05,'distractor01X',005,'distractor01Y',-05,'distractor02X',005,'distractor02Y',005,'distractor03X',-05,'distractor03Y',000,'distractor04X',000,'distractor04Y',-05,'distractor05X',-05,'distractor05Y',005,'distractor06X',000,'distractor06Y',005,'distractor07X',005,'distractor07Y',000,'distractorPerTrial',007	1	2	searchTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0 0.33], 1, 20, 10)	crc(4, [0.33 0 0.33], 1, 20, -10)	pic(.\stim\044, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)
