Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11	TaskObject#12	TaskObject#13	TaskObject#14	TaskObject#15	TaskObject#16	TaskObject#17
1	'targetImageID',034,'distractorImageID',047,'targetImageFile','.\stim\034','distractorImageFile','.\stim\047','expectedResponse',002,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',3.500000e+00,'holdX',020,'holdY',000,'targetX',1.152067e+01,'targetY',1.135369e+01,'distractor01X',6.167062e+00,'distractor01Y',4.447993e+00,'distractor02X',4.834430e+00,'distractor02Y',-5.027620e+00,'distractor03X',1.106332e+01,'distractor03Y',-1.190370e+01,'distractor04X',2.003259e+02,'distractor04Y',2.005521e+02,'distractor05X',2.003500e+02,'distractor05Y',1.999698e+02,'distractor06X',1.991152e+02,'distractor06Y',1.991413e+02,'distractor07X',1.992459e+02,'distractor07Y',2.006017e+02,'distractorPerTrial',003,'targetLocation',001	1	1	calTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0.33 0], 1, 20, 10)	crc(4, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\034, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)
2	'targetImageID',034,'distractorImageID',047,'targetImageFile','.\stim\034','distractorImageFile','.\stim\047','expectedResponse',002,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',3.500000e+00,'holdX',020,'holdY',000,'targetX',1.152067e+01,'targetY',1.135369e+01,'distractor01X',6.167062e+00,'distractor01Y',4.447993e+00,'distractor02X',4.834430e+00,'distractor02Y',-5.027620e+00,'distractor03X',1.106332e+01,'distractor03Y',-1.190370e+01,'distractor04X',2.003259e+02,'distractor04Y',2.005521e+02,'distractor05X',2.003500e+02,'distractor05Y',1.999698e+02,'distractor06X',1.991152e+02,'distractor06Y',1.991413e+02,'distractor07X',1.992459e+02,'distractor07Y',2.006017e+02,'distractorPerTrial',003,'targetLocation',001	1	2	vsoTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0.33 0], 1, 20, 10)	crc(4, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\034, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)
3	'targetImageID',047,'distractorImageID',034,'targetImageFile','.\stim\047','distractorImageFile','.\stim\034','expectedResponse',002,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',3.500000e+00,'holdX',020,'holdY',000,'targetX',6.416444e+00,'targetY',3.733597e+00,'distractor01X',6.697097e+00,'distractor01Y',-4.887573e+00,'distractor02X',1.186615e+01,'distractor02Y',-1.134202e+01,'distractor03X',1.038806e+01,'distractor03Y',1.256214e+01,'distractor04X',1.990891e+02,'distractor04Y',1.991802e+02,'distractor05X',1.996767e+02,'distractor05Y',2.008864e+02,'distractor06X',1.990326e+02,'distractor06Y',2.001075e+02,'distractor07X',1.994330e+02,'distractor07Y',2.006787e+02,'distractorPerTrial',003,'targetLocation',002	1	2	vsoTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0.33 0], 1, 20, 10)	crc(4, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\047, 0, 0)	pic(.\stim\034, 0, 0)	pic(.\stim\034, 0, 0)	pic(.\stim\034, 0, 0)	pic(.\stim\034, 0, 0)	pic(.\stim\034, 0, 0)	pic(.\stim\034, 0, 0)	pic(.\stim\034, 0, 0)
4	'targetImageID',055,'distractorImageID',026,'targetImageFile','.\stim\055','distractorImageFile','.\stim\026','expectedResponse',002,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',3.500000e+00,'holdX',020,'holdY',000,'targetX',5.005218e+00,'targetY',-5.264599e+00,'distractor01X',1.099012e+01,'distractor01Y',-1.184966e+01,'distractor02X',1.051831e+01,'distractor02Y',1.277780e+01,'distractor03X',5.171567e+00,'distractor03Y',4.860914e+00,'distractor04X',1.992807e+02,'distractor04Y',1.996518e+02,'distractor05X',2.000055e+02,'distractor05Y',1.991684e+02,'distractor06X',1.991455e+02,'distractor06Y',1.995754e+02,'distractor07X',2.006175e+02,'distractor07Y',1.999056e+02,'distractorPerTrial',003,'targetLocation',003	1	2	vsoTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0.33 0], 1, 20, 10)	crc(4, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\055, 0, 0)	pic(.\stim\026, 0, 0)	pic(.\stim\026, 0, 0)	pic(.\stim\026, 0, 0)	pic(.\stim\026, 0, 0)	pic(.\stim\026, 0, 0)	pic(.\stim\026, 0, 0)	pic(.\stim\026, 0, 0)
5	'targetImageID',033,'distractorImageID',048,'targetImageFile','.\stim\033','distractorImageFile','.\stim\048','expectedResponse',002,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',3.500000e+00,'holdX',020,'holdY',000,'targetX',1.045273e+01,'targetY',-1.214344e+01,'distractor01X',1.055977e+01,'distractor01Y',1.298114e+01,'distractor02X',6.460058e+00,'distractor02Y',4.163329e+00,'distractor03X',5.829043e+00,'distractor03Y',-4.875088e+00,'distractor04X',1.991293e+02,'distractor04Y',1.996283e+02,'distractor05X',1.996002e+02,'distractor05Y',1.992520e+02,'distractor06X',1.994943e+02,'distractor06Y',1.994944e+02,'distractor07X',2.008229e+02,'distractor07Y',2.004291e+02,'distractorPerTrial',003,'targetLocation',004	1	2	vsoTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0.33 0], 1, 20, 10)	crc(4, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\033, 0, 0)	pic(.\stim\048, 0, 0)	pic(.\stim\048, 0, 0)	pic(.\stim\048, 0, 0)	pic(.\stim\048, 0, 0)	pic(.\stim\048, 0, 0)	pic(.\stim\048, 0, 0)	pic(.\stim\048, 0, 0)
6	'targetImageID',048,'distractorImageID',033,'targetImageFile','.\stim\048','distractorImageFile','.\stim\033','expectedResponse',002,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',3.500000e+00,'holdX',020,'holdY',000,'targetX',1.125631e+01,'targetY',1.283606e+01,'distractor01X',6.444180e+00,'distractor01Y',4.203001e+00,'distractor02X',4.790557e+00,'distractor02Y',-3.869038e+00,'distractor03X',1.166582e+01,'distractor03Y',-1.298781e+01,'distractor04X',2.004972e+02,'distractor04Y',2.006100e+02,'distractor05X',1.992145e+02,'distractor05Y',2.004115e+02,'distractor06X',1.992749e+02,'distractor06Y',2.003817e+02,'distractor07X',1.999088e+02,'distractor07Y',2.002757e+02,'distractorPerTrial',003,'targetLocation',001	1	2	vsoTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0.33 0], 1, 20, 10)	crc(4, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\048, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\033, 0, 0)
7	'targetImageID',035,'distractorImageID',046,'targetImageFile','.\stim\035','distractorImageFile','.\stim\046','expectedResponse',002,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',3.500000e+00,'holdX',020,'holdY',000,'targetX',5.866121e+00,'targetY',4.022362e+00,'distractor01X',6.040328e+00,'distractor01Y',-3.647596e+00,'distractor02X',1.044023e+01,'distractor02Y',-1.128643e+01,'distractor03X',1.122089e+01,'distractor03Y',1.203762e+01,'distractor04X',2.009890e+02,'distractor04Y',2.000932e+02,'distractor05X',1.990456e+02,'distractor05Y',1.990536e+02,'distractor06X',2.005841e+02,'distractor06Y',2.009887e+02,'distractor07X',1.991484e+02,'distractor07Y',1.997690e+02,'distractorPerTrial',003,'targetLocation',002	1	2	vsoTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0.33 0], 1, 20, 10)	crc(4, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\035, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\046, 0, 0)
8	'targetImageID',064,'distractorImageID',017,'targetImageFile','.\stim\064','distractorImageFile','.\stim\017','expectedResponse',002,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',3.500000e+00,'holdX',020,'holdY',000,'targetX',5.512168e+00,'targetY',-4.594471e+00,'distractor01X',1.209111e+01,'distractor01Y',-1.168961e+01,'distractor02X',1.207342e+01,'distractor02Y',1.188774e+01,'distractor03X',5.804088e+00,'distractor03Y',3.932223e+00,'distractor04X',2.008340e+02,'distractor04Y',1.997304e+02,'distractor05X',1.992864e+02,'distractor05Y',1.998476e+02,'distractor06X',2.000357e+02,'distractor06Y',2.000118e+02,'distractor07X',1.997249e+02,'distractor07Y',1.996496e+02,'distractorPerTrial',003,'targetLocation',003	1	2	vsoTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0.33 0], 1, 20, 10)	crc(4, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\064, 0, 0)	pic(.\stim\017, 0, 0)	pic(.\stim\017, 0, 0)	pic(.\stim\017, 0, 0)	pic(.\stim\017, 0, 0)	pic(.\stim\017, 0, 0)	pic(.\stim\017, 0, 0)	pic(.\stim\017, 0, 0)
9	'targetImageID',078,'distractorImageID',003,'targetImageFile','.\stim\078','distractorImageFile','.\stim\003','expectedResponse',002,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',3.500000e+00,'holdX',020,'holdY',000,'targetX',1.058730e+01,'targetY',-1.251290e+01,'distractor01X',1.105730e+01,'distractor01Y',1.263027e+01,'distractor02X',6.682638e+00,'distractor02Y',5.606057e+00,'distractor03X',5.122647e+00,'distractor03Y',-4.727738e+00,'distractor04X',1.999267e+02,'distractor04Y',2.000910e+02,'distractor05X',2.002670e+02,'distractor05Y',1.994307e+02,'distractor06X',1.995479e+02,'distractor06Y',1.999670e+02,'distractor07X',2.004959e+02,'distractor07Y',1.996932e+02,'distractorPerTrial',003,'targetLocation',004	1	2	vsoTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0.33 0], 1, 20, 10)	crc(4, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\078, 0, 0)	pic(.\stim\003, 0, 0)	pic(.\stim\003, 0, 0)	pic(.\stim\003, 0, 0)	pic(.\stim\003, 0, 0)	pic(.\stim\003, 0, 0)	pic(.\stim\003, 0, 0)	pic(.\stim\003, 0, 0)
10	'targetImageID',073,'distractorImageID',008,'targetImageFile','.\stim\073','distractorImageFile','.\stim\008','expectedResponse',002,'trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',3.500000e+00,'holdX',020,'holdY',000,'targetX',1.159855e+01,'targetY',1.169005e+01,'distractor01X',6.533931e+00,'distractor01Y',4.904381e+00,'distractor02X',6.579503e+00,'distractor02Y',-3.664767e+00,'distractor03X',1.018500e+01,'distractor03Y',-1.308352e+01,'distractor04X',2.009092e+02,'distractor04Y',2.006003e+02,'distractor05X',1.995152e+02,'distractor05Y',2.005235e+02,'distractor06X',1.990237e+02,'distractor06Y',1.994622e+02,'distractor07X',1.998395e+02,'distractor07Y',1.998663e+02,'distractorPerTrial',003,'targetLocation',001	1	2	vsoTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0,  0)	crc(0.1, [0 0 0], 1, 0,  0)	crc(0.5, [0.5 0.5 0.5], 1, 0,  0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(4, [0.33 0.33 0], 1, 20, 10)	crc(4, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\073, 0, 0)	pic(.\stim\008, 0, 0)	pic(.\stim\008, 0, 0)	pic(.\stim\008, 0, 0)	pic(.\stim\008, 0, 0)	pic(.\stim\008, 0, 0)	pic(.\stim\008, 0, 0)	pic(.\stim\008, 0, 0)
